Components Table:
1748,	AbstractStepInterpolator.allocateInterpolatedArrays
8,	FastMath.doubleHighPart
550,	Vector3D.getX
1404,	BlockRealMatrix.setRow
1943,	LinearOptimizer.parseOptimizationData
2252,	ChiSquaredDistribution.getSupportLowerBound
551,	Vector3D.getY
552,	Vector3D.getZ
1788,	DormandPrince853Integrator.getOrder
1019,	FieldRotation.distance
1637,	OpenIntToDoubleHashMap.hashOf
2675,	SynchronizedSummaryStatistics.setMeanImpl
1277,	ArrayRealVector.getL1Norm
2754,	RegressionResults.getErrorSumSquares
219,	FunctionUtils.fix1stArgument
2357,	ResizableDoubleArray.getNumElements
1947,	SimplexTableau.normalizeConstraints
548,	Rotation.getAxis
1677,	SymmLQ.hasConverged
2690,	ChiSquareTest.chiSquareDataSetsComparison
1951,	LinearObjectiveFunction.getCoefficients
1923,	StepNormalizerBounds.lastIncluded
1050,	Vector3D.isNaN
2704,	OneWayAnova.anovaTest
1855,	AbstractParameterizable.complainIfNotSupported
1629,	OpenMapRealMatrix.getEntry
2720,	TTest.pairedTTest
231,	FunctionUtils.toUnivariateDifferential
2627,	SynchronizedMultivariateSummaryStatistics.addValue
1342,	BlockFieldMatrix.walkInOptimizedOrder
2506,	GeometricMean.getResult
191,	DfpField.getPiSplit
1069,	Line.toSpace
1278,	ArrayRealVector.getLInfDistance
1961,	LinearConstraint.getValue
2541,	StandardDeviation.clear
396,	BaseOptimizer.getConvergenceChecker
822,	AbstractFormat.getDenominatorFormat
978,	SubHyperplane.getPlus
2011,	BaseMultiStartMultivariateOptimizer.optimize
1821,	GraggBulirschStoerIntegrator.addEventHandler
2639,	SynchronizedMultivariateSummaryStatistics.getCovariance
1890,	AbstractIntegrator.getCurrentStepStart
520,	UnivariateSolverUtils.forceSide
2496,	DescriptiveStatistics.getSumsq
2113,	CMAESOptimizer.optimizeInternal
2779,	SimpleRegression.getMeanSquareError
2065,	BracketFinder.getHi
2442,	SummaryStatistics.copy
812,	AbstractLeastSquaresOptimizer.getRMS
2392,	SimpleRegression.getRSquare
2556,	MultivariateSummaryStatistics.getGeometricMean
835,	AbstractFormat.setNumeratorFormat
1473,	FieldLUDecomposition.getU
1202,	Array2DRowRealMatrix.add
2077,	Well44497b.next
1474,	FieldLUDecomposition.getP
2679,	Frequency.getCumFreq
611,	Dfp.log1p
1528,	MatrixDimensionMismatchException.getExpectedColumnDimension
2474,	DescriptiveStatistics.getKurtosisImpl
2404,	NaturalRanking.resolveTie
2814,	RandomDataImpl.nextSample
2197,	EmpiricalDistribution.getUpperBounds
554,	Vector3D.add
488,	NewtonRaphsonSolver.doSolve
819,	BlockRealMatrix.getEntry
2351,	ValueServer.setMode
2420,	StatisticalSummaryValues.getMean
2083,	PointVectorValuePair.writeReplace
2295,	HypergeometricDistribution.getSampleSize
1837,	JacobianMatrices.getCurrentParameterJacobian
689,	FirstMoment.clear
1113,	Line.toSubSpace
750,	AbstractMultivariateRealDistribution.sample
1876,	NordsieckStepInterpolator.reinitialize
1234,	ArrayFieldVector.dotProduct
1429,	DefaultIterativeLinearSolverEvent.getSolution
1901,	EulerStepInterpolator.doCopy
1114,	AbstractSubHyperplane.getRemainingRegion
1551,	QRDecomposition.getH
255,	BaseAbstractUnivariateIntegrator.setup
665,	EnumeratedRealDistribution.isSupportLowerBoundInclusive
2596,	Product.evaluate
2300,	HypergeometricDistribution.getPopulationSize
114,	DSCompiler.log10
642,	EnumeratedIntegerDistribution.getNumericalVariance
171,	Dfp.complement
2739,	JDKRandomGenerator.setSeed
1288,	Log10.value
1319,	RealVector.checkIndices
1699,	DoublePoint.getPoint
212,	Add.value
1942,	MaxIter.getMaxIter
2200,	EmpiricalDistribution.findBin
2844,	Decimal64.ceil
821,	BigFractionField.readResolve
2029,	MultivariateFunctionMappingAdapter.value
2904,	TransformerMap.containsClass
1504,	AbstractFieldMatrix.scalarMultiply
2827,	BigReal.multiply
1188,	Line.isParallelTo
918,	TournamentSelection.tournament
1119,	AbstractRegion.side
1646,	OpenIntToDoubleHashMap.readObject
2056,	SearchInterval.getMin
1055,	Line.getDirection
1172,	Vector3D.getNorm1
1756,	ExpandableStatefulODE.getTime
2624,	SynchronizedDescriptiveStatistics.toString
1387,	BlockRealMatrix.add
1300,	RealVector.mapAdd
708,	Covariance.getCovarianceMatrix
